external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Pearson et al. / Table 4 XID,casey::casey_T35_a20,casey_T35_a20,Casey T35K a=2.0,Casey-like template,58,1010.6315116422716,-0.7091759640200658,17.42468123521158
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T40_a20,casey_T40_a20,Casey T40K a=2.0,Casey-like template,30,527.2328447924115,-0.6973743568229482,17.57442815974705
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T40,mbb_T40,MBB 40 K,modified blackbody,88,1585.8377620105548,-0.5437124352630142,18.02088365921085
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T25_a30,casey_T25_a30,Casey T25K a=3.0,Casey-like template,30,545.5746510552824,0.4620652278656879,18.185821701842748
Clements et al. / Table 1,casey::casey_T25_a30,casey_T25_a30,Casey T25K a=3.0,Casey-like template,68,1238.649521364422,0.4829819569037636,18.21543413771209
Clements et al. / Table 1,casey::casey_T40_a25,casey_T40_a25,Casey T40K a=2.5,Casey-like template,70,1291.1546889984106,-0.5188021206543469,18.44506698569158
Pearson et al. / Table 3 SUSSEXtractor,hybrid::aless,aless,ALESS,empirical template,88,1655.3171431298215,-0.522698877937778,18.8104220810207
Clements et al. / Table 1,mbb::mbb_T45,mbb_T45,MBB 45 K,modified blackbody,68,1288.0990291267863,-0.5636425096273823,18.94263278127627
Pearson et al. / Table 4 XID,mbb::mbb_T20,mbb_T20,MBB 20 K,modified blackbody,58,1100.7057525958896,0.6450493605267562,18.977685389584305
Oliver et al. / Table 2,mbb::mbb_T20,mbb_T20,MBB 20 K,modified blackbody,30,570.3859276441656,1.0464965243617483,19.012864254805518
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T30_a15,casey_T30_a15,Casey T30K a=1.5,Casey-like template,88,1688.822956942971,-0.4775376326177574,19.191169965261032
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T45_a30,casey_T45_a30,Casey T45K a=3.0,Casey-like template,30,596.8300558750775,-0.7935496766627057,19.894335195835918
Pearson et al. / Table 4 XID,casey::casey_T40_a30,casey_T40_a30,Casey T40K a=3.0,Casey-like template,58,1218.089735711849,-0.7619376475846877,21.001547167445672
Clements et al. / Table 1,casey::casey_T35_a15,casey_T35_a15,Casey T35K a=1.5,Casey-like template,70,1515.6344313178543,-0.6800769765436004,21.651920447397917
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T40_a25,casey_T40_a25,Casey T40K a=2.5,Casey-like template,22,484.51115364248096,-0.5424225794948335,22.023234256476407
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T35_a20,casey_T35_a20,Casey T35K a=2.0,Casey-like template,88,1941.3459436762596,-0.5964200120717711,22.060749359957494
Clements et al. / Table 1,casey::casey_T40_a20,casey_T40_a20,Casey T40K a=2.0,Casey-like template,70,1551.6931587025188,-0.7332723129887276,22.167045124321696
Clements et al. / Table 1,casey::casey_T45_a30,casey_T45_a30,Casey T45K a=3.0,Casey-like template,68,1532.7086891607887,-0.7637737433226415,22.539833664129247
Pearson et al. / Table 3 SUSSEXtractor,mbb::mbb_T25,mbb_T25,MBB 25 K,modified blackbody,88,2011.4459380004175,0.4855058279016545,22.857340204550198
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T45_a25,casey_T45_a25,Casey T45K a=2.5,Casey-like template,30,687.7854082122687,-0.8842627157929981,22.926180273742293
Clements et al. / Table 1,casey::casey_T45_a25,casey_T45_a25,Casey T45K a=2.5,Casey-like template,68,1651.6053947698701,-0.8827070191586519,24.288314628968678
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T40_a30,casey_T40_a30,Casey T40K a=3.0,Casey-like template,88,2164.402747585292,-0.6273346545776205,24.595485768014683
Clements et al. / Table 1,mbb::mbb_T50,mbb_T50,MBB 50 K,modified blackbody,66,1636.079544321071,-0.9223565954323109,24.789084004864712
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T35_a15,casey_T35_a15,Casey T35K a=1.5,Casey-like template,22,546.6894760375505,-0.6407548126573123,24.84952163807048
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T40_a15,casey_T40_a15,Casey T40K a=1.5,Casey-like template,30,748.3860361125612,-0.8109059727537131,24.94620120375204
Clements et al. / Table 1,casey::casey_T40_a15,casey_T40_a15,Casey T40K a=1.5,Casey-like template,68,1714.8975811289579,-0.8827070191586519,25.219082075425852
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T45,mbb_T45,MBB 45 K,modified blackbody,22,564.5591638209158,-0.5470761380693703,25.661780173677993
Clements et al. / Table 1,casey::casey_T45_a20,casey_T45_a20,Casey T45K a=2.0,Casey-like template,66,1712.786308646291,-1.0051166000326623,25.951307706761984
