band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source,sky_field,survey_family,score_set
500,resthybrid25,25% ALESS,5,8.11192751629833,1.622385503259666,0.3202673538664004,0.4815495579088685,0.4209327451028984,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,resthybrid50,50% ALESS,5,7.713256590001261,1.5426513180002521,0.16013487309389818,0.46739915256878584,0.3329262536920676,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,resthybrid75,75% ALESS,5,5.427573750802502,1.0855147501605003,-0.12294276185078931,0.3971950501044706,0.3251909549755624,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,wang_raw,Wang raw,2,2.9200583174601586,1.4600291587300793,-0.2454522370667529,0.33228971871986174,0.2454522370667529,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,aless,ALESS,15,46.41773285193414,3.094515523462276,-0.3671658781233516,,,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,fsps_lirnorm,FSPS,15,51.9329458473551,3.4621963898236734,0.4220915407713782,,,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,resthybrid25,25% ALESS,15,16.86546288313981,1.1243641922093206,0.2892605642771401,,,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,resthybrid50,50% ALESS,15,15.204720635473908,1.0136480423649272,0.1020014625963358,,,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,resthybrid75,75% ALESS,15,27.37978768668956,1.8253191791126373,-0.1499891333678921,,,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
all,wang_raw,Wang raw,9,21.398455279079947,2.377606142119994,-0.2640952303802052,,,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,aless,ALESS,12,114.60060591694837,9.55005049307903,-0.47834272193483074,0.508747687531687,0.4608034296300647,wang_farmer_1p278deg2,1.278,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,fsps_lirnorm,FSPS,12,7.66988354067476,0.6391569617228966,0.06625828136404632,0.14580448250944741,0.10951283017698445,wang_farmer_1p278deg2,1.278,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,resthybrid25,25% ALESS,12,7.122929265722364,0.593577438810197,-0.03711710134356616,0.11690727325391023,0.10276516543456975,wang_farmer_1p278deg2,1.278,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
250,resthybrid50,50% ALESS,12,22.279708056508266,1.8566423380423556,-0.160381186346327,0.21419605178019782,0.18553416765254283,wang_farmer_1p278deg2,1.278,Pearson Dark Field XID,SPIRE Dark Field near North Ecliptic Pole,SPIRE Dark Field,clean_independent
